StaffID,Name,Role,Department,Email
ady963,Koh Wen Jie,Career Center Staff,HR,ady963@ntu.edu.sg
wzs752,Yap Xin Yi,Career Center Staff,HR,wzs752@ntu.edu.sg
kjd532,Loh Jun Wei,Career Center Staff,Student Services,kjd532@ntu.edu.sg
nna972,Low Jian Hong,Career Center Staff,OAS,nna972@ntu.edu.sg
ojd546,Ng Rui En,Career Center Staff,Student Services,ojd546@ntu.edu.sg
xuy408,Quek Kai Xin,Career Center Staff,HR,xuy408@ntu.edu.sg
xow672,Chew Hao Ran,Career Center Staff,CCDS,xow672@ntu.edu.sg
ock501,Ng Pei Xuan,Career Center Staff,Student Services,ock501@ntu.edu.sg
dgd140,Koh Wen Jie,Career Center Staff,Admin,dgd140@ntu.edu.sg
dsg584,Sim Zhi Han,Career Center Staff,OAS,dsg584@ntu.edu.sg
qdo092,Chua Rui Yang,Career Center Staff,HR,qdo092@ntu.edu.sg
qjg602,Teo Jia Min,Career Center Staff,Student Services,qjg602@ntu.edu.sg
tsz160,Sim Wen Jie,Career Center Staff,HR,tsz160@ntu.edu.sg
yxe822,Low Wei Ting,Career Center Staff,CCDS,yxe822@ntu.edu.sg
pqi378,Yap Li Xuan,Career Center Staff,Student Services,pqi378@ntu.edu.sg
sau424,Teo Pei Xuan,Career Center Staff,Admin,sau424@ntu.edu.sg
xsz973,Goh Zhi Xin,Career Center Staff,HR,xsz973@ntu.edu.sg
otq382,Chua Li Ting,Career Center Staff,OAS,otq382@ntu.edu.sg
beq555,Foo Zhi Wei,Career Center Staff,Admin,beq555@ntu.edu.sg
cah565,Sim Jing Wen,Career Center Staff,Admin,cah565@ntu.edu.sg
cez932,Chew Pei Xuan,Career Center Staff,CCDS,cez932@ntu.edu.sg
gxa316,Ng En Qi,Career Center Staff,CCDS,gxa316@ntu.edu.sg
xbx931,Sim Jian Hong,Career Center Staff,CCDS,xbx931@ntu.edu.sg
kfh441,Yap Jian Hong,Career Center Staff,Student Services,kfh441@ntu.edu.sg
xfy194,Sim Xin Yi,Career Center Staff,CCDS,xfy194@ntu.edu.sg
xgs430,Koh Wen Jie,Career Center Staff,Student Services,xgs430@ntu.edu.sg
xgw727,Loh Xue Ying,Career Center Staff,Student Services,xgw727@ntu.edu.sg
kds737,Goh Kai Xin,Career Center Staff,CCDS,kds737@ntu.edu.sg
gat621,Chua Yi Xuan,Career Center Staff,CCDS,gat621@ntu.edu.sg
jws285,Ng Ming Hui,Career Center Staff,HR,jws285@ntu.edu.sg
ism435,Ong Jia Min,Career Center Staff,Student Services,ism435@ntu.edu.sg
rkg727,Chua Li Wei,Career Center Staff,OAS,rkg727@ntu.edu.sg
mxd043,Ong Pei Xuan,Career Center Staff,HR,mxd043@ntu.edu.sg
rac591,Low Yu Han,Career Center Staff,Admin,rac591@ntu.edu.sg
qtc358,Quek Ming Hui,Career Center Staff,HR,qtc358@ntu.edu.sg
gvi003,Teo Yu Han,Career Center Staff,Admin,gvi003@ntu.edu.sg
jcp684,Sim Zhi Wei,Career Center Staff,HR,jcp684@ntu.edu.sg
wvo765,Go En Qi,Career Center Staff,Admin,wvo765@ntu.edu.sg
cal568,Tan Pei Xuan,Career Center Staff,OAS,cal568@ntu.edu.sg
cqk925,Chew Zhi Wei,Career Center Staff,CCDS,cqk925@ntu.edu.sg
hrf687,Koh Pei Xuan,Career Center Staff,Admin,hrf687@ntu.edu.sg
lvh916,Chua Xue Ying,Career Center Staff,CCDS,lvh916@ntu.edu.sg
tkc005,Ng Zhi Xin,Career Center Staff,HR,tkc005@ntu.edu.sg
jfm261,Go Ming Hui,Career Center Staff,OAS,jfm261@ntu.edu.sg
evw217,Yeo Yi En,Career Center Staff,HR,evw217@ntu.edu.sg
uxd563,Lee Kai Jie,Career Center Staff,HR,uxd563@ntu.edu.sg
bpm204,Ng Xin Yi,Career Center Staff,Admin,bpm204@ntu.edu.sg
ltt936,Tan Rui Yang,Career Center Staff,Admin,ltt936@ntu.edu.sg
jgr565,Koh Wei Ling,Career Center Staff,HR,jgr565@ntu.edu.sg
hde081,Ong Xin Rui,Career Center Staff,Admin,hde081@ntu.edu.sg
dvz410,Loh Kai Jie,Career Center Staff,HR,dvz410@ntu.edu.sg
ztx212,Sim Ying Jie,Career Center Staff,Student Services,ztx212@ntu.edu.sg
qpr552,Chia Rui Yang,Career Center Staff,Student Services,qpr552@ntu.edu.sg
ghz728,Chua Wei Ling,Career Center Staff,CCDS,ghz728@ntu.edu.sg
wxc863,Chan Jia Hao,Career Center Staff,Admin,wxc863@ntu.edu.sg
yuo501,Chan Pei Xuan,Career Center Staff,Admin,yuo501@ntu.edu.sg
yyq973,Low Xue Ying,Career Center Staff,Student Services,yyq973@ntu.edu.sg
mnz151,Tan Wei Ting,Career Center Staff,HR,mnz151@ntu.edu.sg
sei917,Goh Rui Yang,Career Center Staff,HR,sei917@ntu.edu.sg
vya232,Chua Yi En,Career Center Staff,HR,vya232@ntu.edu.sg
onw945,Sim Li Xuan,Career Center Staff,CCDS,onw945@ntu.edu.sg
cva287,Ng Yi En,Career Center Staff,Student Services,cva287@ntu.edu.sg
hmk581,Teo Pei Xuan,Career Center Staff,CCDS,hmk581@ntu.edu.sg
rdw288,Tan Wei Ling,Career Center Staff,CCDS,rdw288@ntu.edu.sg
sav469,Tan Wei Ting,Career Center Staff,Student Services,sav469@ntu.edu.sg
asz005,Sim En Qi,Career Center Staff,Student Services,asz005@ntu.edu.sg
qhq197,Koh Li Wei,Career Center Staff,CCDS,qhq197@ntu.edu.sg
rnc969,Tan Zhi Wei,Career Center Staff,Student Services,rnc969@ntu.edu.sg
zcb025,Go Rui En,Career Center Staff,OAS,zcb025@ntu.edu.sg
pbm819,Ong Jing Wen,Career Center Staff,CCDS,pbm819@ntu.edu.sg
gkl896,Chia Wei Ting,Career Center Staff,CCDS,gkl896@ntu.edu.sg
lqy719,Chua Rui En,Career Center Staff,OAS,lqy719@ntu.edu.sg
dbj933,Yap Rui Yang,Career Center Staff,Student Services,dbj933@ntu.edu.sg
fxr531,Chua Jing Wen,Career Center Staff,Admin,fxr531@ntu.edu.sg
qgn803,Chua Jia Xin,Career Center Staff,Student Services,qgn803@ntu.edu.sg
god344,Lim Li Ting,Career Center Staff,Student Services,god344@ntu.edu.sg
